row_id,raw_image_path_from_csv,resolved_image_path,exists,file_size_bytes,issue
194,/data/all_images/image_194.png,/DATA5/prabhakar/telecom/extracted_images/images/image_194.png,True,20705,
195,/data/all_images/image_195.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_195.jpeg,True,53946,
196,/data/all_images/image_196.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_196.jpeg,True,59162,
197,/data/all_images/image_197.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_197.jpeg,True,61297,
198,/data/all_images/image_198.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_198.jpeg,True,37192,
199,/data/all_images/image_199.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_199.jpeg,True,47488,
200,/data/all_images/image_200.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_200.jpeg,True,84193,
201,/data/all_images/image_201.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_201.jpeg,True,77147,
202,/data/all_images/image_202.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_202.jpeg,True,39613,
203,/data/all_images/image_203.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_203.jpeg,True,48714,
204,/data/all_images/image_204.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_204.jpeg,True,51327,
205,/data/all_images/image_205.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_205.jpeg,True,41357,
206,/data/all_images/image_206.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_206.jpeg,True,39217,
207,/data/all_images/image_207.png,/DATA5/prabhakar/telecom/extracted_images/images/image_207.png,True,40816,
208,/data/all_images/image_208.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_208.jpeg,True,22992,
209,/data/all_images/image_209.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_209.jpeg,True,31382,
210,/data/all_images/image_210.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_210.jpeg,True,75325,
211,/data/all_images/image_211.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_211.jpeg,True,24443,
212,/data/all_images/image_212.png,/DATA5/prabhakar/telecom/extracted_images/images/image_212.png,True,33167,
213,/data/all_images/image_213.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_213.jpeg,True,53587,
214,/data/all_images/image_214.png,/DATA5/prabhakar/telecom/extracted_images/images/image_214.png,True,45257,
215,/data/all_images/image_215.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_215.jpeg,True,46727,
216,/data/all_images/image_216.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_216.jpeg,True,55881,
217,/data/all_images/image_217.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_217.jpeg,True,35764,
218,/data/all_images/image_218.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_218.jpeg,True,22169,
219,/data/all_images/image_219.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_219.jpeg,True,24519,
220,/data/all_images/image_220.png,/DATA5/prabhakar/telecom/extracted_images/images/image_220.png,True,27272,
221,/data/all_images/image_221.png,/DATA5/prabhakar/telecom/extracted_images/images/image_221.png,True,25966,
222,/data/all_images/image_222.png,/DATA5/prabhakar/telecom/extracted_images/images/image_222.png,True,29728,
223,/data/all_images/image_223.png,/DATA5/prabhakar/telecom/extracted_images/images/image_223.png,True,25427,
224,/data/all_images/image_224.png,/DATA5/prabhakar/telecom/extracted_images/images/image_224.png,True,126205,
225,/data/all_images/image_225.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_225.jpeg,True,70467,
226,/data/all_images/image_226.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_226.jpeg,True,103884,
227,/data/all_images/image_227.png,/DATA5/prabhakar/telecom/extracted_images/images/image_227.png,True,35528,
228,/data/all_images/image_228.png,/DATA5/prabhakar/telecom/extracted_images/images/image_228.png,True,20660,
229,/data/all_images/image_229.png,/DATA5/prabhakar/telecom/extracted_images/images/image_229.png,True,24423,
230,/data/all_images/image_230.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_230.jpeg,True,46344,
231,/data/all_images/image_231.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_231.jpeg,True,49098,
232,/data/all_images/image_232.png,/DATA5/prabhakar/telecom/extracted_images/images/image_232.png,True,30204,
233,/data/all_images/image_233.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_233.jpeg,True,132009,
234,/data/all_images/image_234.png,/DATA5/prabhakar/telecom/extracted_images/images/image_234.png,True,21373,
235,/data/all_images/image_235.png,/DATA5/prabhakar/telecom/extracted_images/images/image_235.png,True,23588,
236,/data/all_images/image_236.png,/DATA5/prabhakar/telecom/extracted_images/images/image_236.png,True,25511,
237,/data/all_images/image_237.png,/DATA5/prabhakar/telecom/extracted_images/images/image_237.png,True,21407,
238,/data/all_images/image_238.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_238.jpeg,True,47230,
239,/data/all_images/image_239.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_239.jpeg,True,96586,
240,/data/all_images/image_240.png,/DATA5/prabhakar/telecom/extracted_images/images/image_240.png,True,31862,
241,/data/all_images/image_241.png,/DATA5/prabhakar/telecom/extracted_images/images/image_241.png,True,33078,
242,/data/all_images/image_242.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_242.jpeg,True,49594,
243,/data/all_images/image_243.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_243.jpeg,True,49422,
244,/data/all_images/image_244.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_244.jpeg,True,20540,
245,/data/all_images/image_245.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_245.jpeg,True,23843,
246,/data/all_images/image_246.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_246.jpeg,True,49549,
247,/data/all_images/image_247.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_247.jpeg,True,20914,
248,/data/all_images/image_248.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_248.jpeg,True,23768,
249,/data/all_images/image_249.png,/DATA5/prabhakar/telecom/extracted_images/images/image_249.png,True,43270,
